id,book_title,category,raw_price,rating,instock,UPC,link,image_url,image_path
a-murder-in-time_877,A Murder in Time,Mystery,£16.64,1,16,f733e8c19d40ec2e,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,https://books.toscrape.com/media/cache/cc/bd/ccbd7a62caefd5a3a2e04dd7c2ff48fe.jpg,
the-murder-of-roger-ackroyd-hercule-poirot-4_852,The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,£44.10,4,15,c7b5183f4d1d4efe,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,https://books.toscrape.com/media/cache/86/38/8638ba095b3b32e0abdef170e7bc4fd6.jpg,
the-last-mile-amos-decker-2_754,The Last Mile (Amos Decker #2),Mystery,£54.21,2,14,3bc89353f7e3a3cc,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,https://books.toscrape.com/media/cache/e6/dc/e6dcc8f75214eb14edc1ce09c98f3d71.jpg,
that-darkness-gardiner-and-renner-1_743,That Darkness (Gardiner and Renner #1),Mystery,£13.92,1,14,0c7b9cf2b7662b65,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,https://books.toscrape.com/media/cache/23/b8/23b81994234ac127d701db1531a08e48.jpg,
tastes-like-fear-di-marnie-rome-3_742,Tastes Like Fear (DI Marnie Rome #3),Mystery,£10.69,1,14,2d1e337aaf341858,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,https://books.toscrape.com/media/cache/74/9b/749bca168778cf35fdb2441a9d6b403f.jpg,
a-time-of-torment-charlie-parker-14_657,A Time of Torment (Charlie Parker #14),Mystery,£48.35,5,14,4416c474713ec1f5,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,https://books.toscrape.com/media/cache/f1/37/f137a410ed7d6fcfce17d081caf97915.jpg,
a-study-in-scarlet-sherlock-holmes-1_656,A Study in Scarlet (Sherlock Holmes #1),Mystery,£16.73,2,14,63ee5bc46066a8a8,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,https://books.toscrape.com/media/cache/27/40/274003f2720f82844873945b87af6c19.jpg,
poisonous-max-revere-novels-3_627,Poisonous (Max Revere Novels #3),Mystery,£26.80,3,12,abdd91e96515a617,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,https://books.toscrape.com/media/cache/8d/52/8d52227d29e03695ef755620078b7815.jpg,
murder-at-the-42nd-street-library-raymond-ambler-1_624,Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,£54.36,4,12,e7fe3bf2768602cf,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,https://books.toscrape.com/media/cache/19/74/19748437aac103dbdeb1918062728726.jpg,
most-wanted_623,Most Wanted,Mystery,£35.28,3,12,c039f5aceb093537,https://books.toscrape.com/catalogue/most-wanted_623/index.html,https://books.toscrape.com/media/cache/fa/b5/fab5e650b19b76c5f5d1ce3a626376b1.jpg,
hide-away-eve-duncan-20_620,Hide Away (Eve Duncan #20),Mystery,£11.84,1,12,bddc6fd036eb6279,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,https://books.toscrape.com/media/cache/b2/c5/b2c501b848bccd9cc375771f53c0fb6e.jpg,
boar-island-anna-pigeon-19_613,Boar Island (Anna Pigeon #19),Mystery,£59.48,3,12,49b24c6a41b82bd2,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,https://books.toscrape.com/media/cache/91/8c/918c2c95ae90495cdb0371a22b726d82.jpg,
the-widow_609,The Widow,Mystery,£27.26,2,11,6159d8b187831770,https://books.toscrape.com/catalogue/the-widow_609/index.html,https://books.toscrape.com/media/cache/e4/37/e43737572b04c7ad28b35f3da29eb8dd.jpg,
playing-with-fire_602,Playing with Fire,Mystery,£13.71,3,11,05a61a3bd8ca4149,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,https://books.toscrape.com/media/cache/09/02/0902666ade8ab8183363e53c108e5069.jpg,
what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506,What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,£25.37,5,7,9735c969c652dd89,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,https://books.toscrape.com/media/cache/2c/68/2c6857eb1c10995c8b9e77a1804f68cd.jpg,
the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,£52.30,5,7,20789fb17b423c4c,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,https://books.toscrape.com/media/cache/38/a4/38a44ac4f642f4717d865c81ec594529.jpg,
delivering-the-truth-quaker-midwife-mystery-1_464,Delivering the Truth (Quaker Midwife Mystery #1),Mystery,£20.89,4,7,4e980425468708da,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,https://books.toscrape.com/media/cache/5c/8a/5c8acde540a88aed464ab5c52bafcd83.jpg,
the-mysterious-affair-at-styles-hercule-poirot-1_452,The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,£24.80,4,6,2da5edf8b5776c9a,https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,https://books.toscrape.com/media/cache/6b/61/6b61d393f0731f6c52182ba3cf41e245.jpg,
in-the-woods-dublin-murder-squad-1_433,In the Woods (Dublin Murder Squad #1),Mystery,£38.38,2,6,6958de044cb28a84,https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html,https://books.toscrape.com/media/cache/13/47/13470484ded8c835ce03b662fc863a1a.jpg,
the-silkworm-cormoran-strike-2_280,The Silkworm (Cormoran Strike #2),Mystery,£23.05,5,3,f06039c29b5891fa,https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html,https://books.toscrape.com/media/cache/fa/d2/fad227281b25d606782218a33323991b.jpg,
the-exiled_247,The Exiled,Mystery,£43.45,3,3,dd003e904727281a,https://books.toscrape.com/catalogue/the-exiled_247/index.html,https://books.toscrape.com/media/cache/dd/29/dd29147b962e4480491cac5bce41e4e4.jpg,
the-cuckoos-calling-cormoran-strike-1_239,The Cuckoo's Calling (Cormoran Strike #1),Mystery,£19.21,1,3,1be6d3b121865edb,https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html,https://books.toscrape.com/media/cache/72/ec/72ec24f082aba608ca37bc3aeaf57317.jpg,
extreme-prey-lucas-davenport-26_154,Extreme Prey (Lucas Davenport #26),Mystery,£25.40,3,3,588ba85ff11a3263,https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html,https://books.toscrape.com/media/cache/0a/b2/0ab24d35793497f6a72137191b91659e.jpg,
career-of-evil-cormoran-strike-3_137,Career of Evil (Cormoran Strike #3),Mystery,£24.72,2,3,b461cf238506c5b8,https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html,https://books.toscrape.com/media/cache/40/f8/40f897ffbfda6e88e5763c157cfd0930.jpg,
the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,£57.70,4,1,b0913e67d38d5ed5,https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html,https://books.toscrape.com/media/cache/62/8c/628c0151226402726149c98549671250.jpg,
the-girl-you-lost_66,The Girl You Lost,Mystery,£12.29,5,1,4280ac3eab57aa5d,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html,https://books.toscrape.com/media/cache/28/15/2815974db428ea019fc84e08af23095b.jpg,
the-girl-in-the-ice-dci-erika-foster-1_65,The Girl In The Ice (DCI Erika Foster #1),Mystery,£15.85,3,1,ee61197edb882599,https://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html,https://books.toscrape.com/media/cache/83/54/835421d17d99c89fd99d07e17806357b.jpg,
blood-defense-samantha-brinkman-1_8,Blood Defense (Samantha Brinkman #1),Mystery,£20.30,3,1,95cdfd514098c38b,https://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html,https://books.toscrape.com/media/cache/ea/12/ea12c82131832c5d772fdbd3cb56ced7.jpg,
1st-to-die-womens-murder-club-1_2,1st to Die (Women's Murder Club #1),Mystery,£53.98,1,1,f684a82adc49f011,https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html,https://books.toscrape.com/media/cache/f6/8e/f68e6ae2f9da04fccbde8442b0a1b52a.jpg,
tipping-the-velvet_999,Tipping the Velvet,Historical Fiction,£53.74,1,20,90fa61229261140a,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,https://books.toscrape.com/media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg,
forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,£29.69,3,16,9beb96a2300109d7,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,https://books.toscrape.com/media/cache/f9/9e/f99e760b894d10c6e5ed578618918367.jpg,
a-flight-of-arrows-the-pathfinders-2_876,A Flight of Arrows (The Pathfinders #2),Historical Fiction,£55.53,5,16,3a6fb983e2554023,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,https://books.toscrape.com/media/cache/ec/65/ec651ed66822d4b68938afa645b1ece2.jpg,
the-house-by-the-lake_846,The House by the Lake,Historical Fiction,£36.95,1,15,9287e238d7c3b06e,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,https://books.toscrape.com/media/cache/46/a2/46a2c968bfccf1979cc5576085eec6dd.jpg,
mrs-houdini_821,Mrs. Houdini,Historical Fiction,£30.25,5,15,a40723994f715420,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html,https://books.toscrape.com/media/cache/b4/45/b445dbc81ca3aff1321a6bf0d0fa231d.jpg,
the-marriage-of-opposites_759,The Marriage of Opposites,Historical Fiction,£28.08,4,14,52cf2a5933ec5d8f,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,https://books.toscrape.com/media/cache/33/8e/338e196723f3fb10d5c6990fe54be61d.jpg,
glory-over-everything-beyond-the-kitchen-house_696,Glory over Everything: Beyond The Kitchen House,Historical Fiction,£45.84,3,14,de4b403cb629a29f,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,https://books.toscrape.com/media/cache/06/ac/06ac98df817412ce2419c4509fa98c80.jpg,
love-lies-and-spies_622,"Love, Lies and Spies",Historical Fiction,£20.55,2,12,9546d537fbf99eb6,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,https://books.toscrape.com/media/cache/5c/19/5c19785278eaa6bf984ce6659847abc3.jpg,
a-paris-apartment_612,A Paris Apartment,Historical Fiction,£39.01,4,12,63343e287971bb0c,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html,https://books.toscrape.com/media/cache/b3/d9/b3d90aca157d5a250becc8b255a37251.jpg,
lilac-girls_597,Lilac Girls,Historical Fiction,£17.28,2,11,bade9943ee01b63f,https://books.toscrape.com/catalogue/lilac-girls_597/index.html,https://books.toscrape.com/media/cache/c0/80/c080a1626edf581b780420db13e7b074.jpg,
the-constant-princess-the-tudor-court-1_493,The Constant Princess (The Tudor Court #1),Historical Fiction,£16.62,3,7,24933c712f0bca2f,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html,https://books.toscrape.com/media/cache/ed/52/ed52651826bb23d853aead2753c9befc.jpg,
the-invention-of-wings_448,The Invention of Wings,Historical Fiction,£37.34,1,6,e6635f5b0a2c78db,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html,https://books.toscrape.com/media/cache/7a/b0/7ab00e6956f540bfe0018656d5bfe1e4.jpg,
world-without-end-the-pillars-of-the-earth-2_420,World Without End (The Pillars of the Earth #2),Historical Fiction,£32.97,4,5,2e5b4ff08a75fd02,https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html,https://books.toscrape.com/media/cache/58/b5/58b5730dd82cbcf6560cf0ab8b56cd9f.jpg,
the-passion-of-dolssa_351,The Passion of Dolssa,Historical Fiction,£28.32,5,4,011674f4a3834b8d,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html,https://books.toscrape.com/media/cache/b3/59/b35975c0df26c40964028a8ccabc9a91.jpg,
girl-with-a-pearl-earring_322,Girl With a Pearl Earring,Historical Fiction,£26.77,1,4,5eff05e59f905a49,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html,https://books.toscrape.com/media/cache/b1/5e/b15ec9da5c7b28e2d11347dd2e8c20e5.jpg,
voyager-outlander-3_299,Voyager (Outlander #3),Historical Fiction,£21.07,5,3,7feac4000cbc5859,https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html,https://books.toscrape.com/media/cache/6e/22/6e22497cbecedef59be86d1328e4b044.jpg,
the-red-tent_273,The Red Tent,Historical Fiction,£35.66,5,3,3c456328b04a8ee8,https://books.toscrape.com/catalogue/the-red-tent_273/index.html,https://books.toscrape.com/media/cache/15/59/155942710c3ae4bd4ed622df9a999b99.jpg,
the-last-painting-of-sara-de-vos_259,The Last Painting of Sara de Vos,Historical Fiction,£55.55,2,3,476c7972e9b41891,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html,https://books.toscrape.com/media/cache/1c/e4/1ce4c2573d65ebdc3c85d9a6592d57b1.jpg,
the-guernsey-literary-and-potato-peel-pie-society_253,The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,£49.53,1,3,4a0a276409968a73,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html,https://books.toscrape.com/media/cache/98/e3/98e3925e5e6a66acf2cde918fc147205.jpg,
girl-in-the-blue-coat_160,Girl in the Blue Coat,Historical Fiction,£46.83,2,3,41fc5dce044f16f5,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html,https://books.toscrape.com/media/cache/15/ea/15eaabd188af8916c4a37d135f7b8952.jpg,
between-shades-of-gray_128,Between Shades of Gray,Historical Fiction,£20.79,5,3,155e42df837ee5ff,https://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html,https://books.toscrape.com/media/cache/df/45/df45004c7a4c3940946ad09f85805565.jpg,
while-you-were-mine_97,While You Were Mine,Historical Fiction,£41.32,5,1,8ceb5c6aed2c5f8b,https://books.toscrape.com/catalogue/while-you-were-mine_97/index.html,https://books.toscrape.com/media/cache/4f/7c/4f7cde01c9711886ef5a8fa14996a52d.jpg,
the-secret-healer_80,The Secret Healer,Historical Fiction,£34.56,3,1,38f776ab9118aed7,https://books.toscrape.com/catalogue/the-secret-healer_80/index.html,https://books.toscrape.com/media/cache/3e/59/3e59b2225c72d3dcf40a306e2b983314.jpg,
starlark_56,Starlark,Historical Fiction,£25.83,3,1,e25164e5b3fe208b,https://books.toscrape.com/catalogue/starlark_56/index.html,https://books.toscrape.com/media/cache/76/e2/76e2881d47f2da9283e52d3c57eef532.jpg,
lost-among-the-living_31,Lost Among the Living,Historical Fiction,£27.70,4,1,d510567580c8be52,https://books.toscrape.com/catalogue/lost-among-the-living_31/index.html,https://books.toscrape.com/media/cache/5f/03/5f0345cd81aaad65bb9f6a34ec0f6b9b.jpg,
a-spys-devotion-the-regency-spies-of-london-1_3,A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,£16.97,5,1,19fec36a1dfb4c16,https://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html,https://books.toscrape.com/media/cache/f9/6b/f96b60a7614c4e3e868b82f6811efc7c.jpg,
scott-pilgrims-precious-little-life-scott-pilgrim-1_987,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,£52.29,5,19,3b1c02bac2a429e6,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,https://books.toscrape.com/media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg,
tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,£16.28,1,16,09555be379ad9253,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,https://books.toscrape.com/media/cache/8b/ab/8bab133ec9f8248a8d5f5ea5c09d0f56.jpg,
this-one-summer_947,This One Summer,Sequential Art,£19.49,4,16,51653ef291ab7ddc,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,https://books.toscrape.com/media/cache/ee/43/ee4364a59d66bafb1b3264419ab3ed9e.jpg,
the-nameless-city-the-nameless-city-1_940,The Nameless City (The Nameless City #1),Sequential Art,£38.16,4,16,7d385d34d12e60ff,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,https://books.toscrape.com/media/cache/19/de/19deee0778c2406da04a4dd0ea09188f.jpg,
saga-volume-5-saga-collected-editions-5_923,"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,£51.04,2,16,53a3d11bb568cc8b,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,https://books.toscrape.com/media/cache/60/3c/603c8f3dd299efe67616a53e5bfb1d03.jpg,
rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,£50.40,3,16,c82a3e358c773c73,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,https://books.toscrape.com/media/cache/d5/d0/d5d015a9cf899301cce5d1a629bdd974.jpg,
princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,£13.61,5,16,0fa6dceead7ce47a,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,https://books.toscrape.com/media/cache/6c/8f/6c8ffe949fb650ba60eff25be1692881.jpg,
pop-gun-war-volume-1-gift_918,"Pop Gun War, Volume 1: Gift",Sequential Art,£18.97,1,16,e80f8e518b300dfe,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,https://books.toscrape.com/media/cache/6f/7b/6f7b3b8445b943f4ff7426360daefb88.jpg,
patience_916,Patience,Sequential Art,£10.16,3,16,9429b4d59c537af5,https://books.toscrape.com/catalogue/patience_916/index.html,https://books.toscrape.com/media/cache/71/0c/710cdaa148f10aac35c27bb93b4f532e.jpg,
outcast-vol-1-a-darkness-surrounds-him-outcast-1_915,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,£15.44,4,16,889139b8e9c4cb36,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,https://books.toscrape.com/media/cache/0c/8a/0c8ae80b592bc1b4c555d6b29d1cfa28.jpg,
orange-the-complete-collection-1-orange-the-complete-collection-1_914,orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,£48.41,1,16,11809b1d323b3057,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,https://books.toscrape.com/media/cache/33/0b/330bf57e3f2e70548f87d39cb956f7eb.jpg,
lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,£46.91,2,16,460089f796fb3f82,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,https://books.toscrape.com/media/cache/67/f8/67f83a06f77d0ff3b06cb8ac04839422.jpg,
lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,£45.61,3,16,b6ee99bcf06fc91f,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,https://books.toscrape.com/media/cache/1c/78/1c78cb31ededc4c662857cf65bd1619d.jpg,
lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,£19.92,2,16,57e5a4d515c8ce44,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,https://books.toscrape.com/media/cache/d6/9b/d69b7020c4210e12882ffca0428919a2.jpg,
i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,£29.17,2,16,8d4eefad7a2b3915,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,https://books.toscrape.com/media/cache/58/e2/58e2097169e92a95d973da420ce7cc98.jpg,
i-am-a-hero-omnibus-volume-1_898,I am a Hero Omnibus Volume 1,Sequential Art,£54.63,3,16,1c89ae5bb804e4de,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,https://books.toscrape.com/media/cache/f7/4d/f74db5141becf01083abc03c078f4922.jpg,
giant-days-vol-2-giant-days-5-8_895,"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,£22.11,2,16,f2df3bb043a8abb0,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,https://books.toscrape.com/media/cache/d0/6f/d06ff4e3b9daf93b18bb21f1af19b5eb.jpg,
danganronpa-volume-1_889,Danganronpa Volume 1,Sequential Art,£51.99,4,16,09b6cc87e62c2c58,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,https://books.toscrape.com/media/cache/ce/39/ce3942d9a10b6a17805136ace7c140fa.jpg,
codename-baboushka-volume-1-the-conclave-of-death_887,"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,£36.72,4,16,8754c83ab2a7ae71,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,https://books.toscrape.com/media/cache/ed/a5/eda54d1bfcdd39488013f7aae1eaf659.jpg,
camp-midnight_886,Camp Midnight,Sequential Art,£17.08,4,16,7b599c8bfcdd8d30,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,https://books.toscrape.com/media/cache/7a/67/7a671ecf69cdcd2ea9ebe85da1b5585f.jpg,
bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,£37.92,2,16,bdf415fd484ea8a7,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,https://books.toscrape.com/media/cache/9d/1d/9d1d68362670066b155936e37d61bc5b.jpg,
